Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msAil.hmt:1.763 (5) vs msAint.hmt:1.739 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.268	msAil.hmt:1.764 (3) vs msAint.hmt:1.739 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.62 (21) vs msA.hmt:1.61 (20): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.61 (20) vs msAil.hmt:1.208 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.61 (20) vs msAil.hmt:1.209 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.61 (20) vs msAil.hmt:1.210 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.61 (20) vs msAim.hmt:1.82 (5): 1.0 (20.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.62 (21) vs msAil.hmt:1.208 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.62 (21) vs msAil.hmt:1.209 (1): 1.0 (100.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.62 (21) vs msAil.hmt:1.210 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.62 (21) vs msAim.hmt:1.82 (5): 1.0 (20.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAil.hmt:1.208 (2) vs msAil.hmt:1.209 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAil.hmt:1.208 (2) vs msAil.hmt:1.210 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAim.hmt:1.82 (5) vs msAil.hmt:1.208 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAil.hmt:1.209 (1) vs msAil.hmt:1.210 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAim.hmt:1.82 (5) vs msAil.hmt:1.209 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAim.hmt:1.82 (5) vs msAil.hmt:1.210 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.64 (28) vs msA.hmt:2.63 (23): 1.0 (4.35%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.63 (23) vs msA.hmt:2.65 (16): 1.0 (6.25%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.63 (23) vs msAil.hmt:2.92 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.63 (23) vs msAil.hmt:2.93 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.63 (23) vs msAint.hmt:2.73 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.64 (28) vs msA.hmt:2.65 (16): 4.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.64 (28) vs msAil.hmt:2.92 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.64 (28) vs msAil.hmt:2.93 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.64 (28) vs msAint.hmt:2.73 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.65 (16) vs msAil.hmt:2.92 (2): 1.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.65 (16) vs msAil.hmt:2.93 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.65 (16) vs msAint.hmt:2.73 (5): 1.0 (20.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msAil.hmt:2.92 (2) vs msAil.hmt:2.93 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msAint.hmt:2.73 (5) vs msAil.hmt:2.92 (2): 1.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msAint.hmt:2.73 (5) vs msAil.hmt:2.93 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 (43) vs msAil.hmt:9.15 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 (43) vs msAil.hmt:9.16 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 (43) vs msAil.hmt:9.17 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 (43) vs msAil.hmt:9.18 (3): 1.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 (43) vs msAil.hmt:9.19 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.15 (2) vs msAil.hmt:9.16 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.15 (2) vs msAil.hmt:9.17 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.18 (3) vs msAil.hmt:9.15 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.15 (2) vs msAil.hmt:9.19 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.16 (1) vs msAil.hmt:9.17 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.18 (3) vs msAil.hmt:9.16 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.19 (2) vs msAil.hmt:9.16 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.18 (3) vs msAil.hmt:9.17 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.19 (2) vs msAil.hmt:9.17 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.18 (3) vs msAil.hmt:9.19 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 (42) vs msAil.hmt:9.75 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 (42) vs msAil.hmt:9.76 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 (42) vs msAil.hmt:9.77 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 (42) vs msAil.hmt:9.78 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 (42) vs msAim.hmt:9.683 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.76 (2) vs msAil.hmt:9.75 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.75 (1) vs msAil.hmt:9.77 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.75 (1) vs msAil.hmt:9.78 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAim.hmt:9.683 (2) vs msAil.hmt:9.75 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.76 (2) vs msAil.hmt:9.77 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.76 (2) vs msAil.hmt:9.78 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.76 (2) vs msAim.hmt:9.683 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.77 (1) vs msAil.hmt:9.78 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAim.hmt:9.683 (2) vs msAil.hmt:9.77 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAim.hmt:9.683 (2) vs msAil.hmt:9.78 (1): 0.0 (0.0%)
