Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.67 (136) vs msA.hmt:1.68 (12): 2.0 (16.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.67 (136) vs msAil.hmt:1.215 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.67 (136) vs msAil.hmt:1.216 (3): 1.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.67 (136) vs msAil.hmt:1.217 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.67 (136) vs msAim.hmt:1.84 (12): 4.0 (33.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.68 (12) vs msAil.hmt:1.215 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.68 (12) vs msAil.hmt:1.216 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.68 (12) vs msAil.hmt:1.217 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msA.hmt:1.68 (12) vs msAim.hmt:1.84 (12): 1.0 (8.33%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msAil.hmt:1.216 (3) vs msAil.hmt:1.215 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msAil.hmt:1.215 (1) vs msAil.hmt:1.217 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msAim.hmt:1.84 (12) vs msAil.hmt:1.215 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msAil.hmt:1.216 (3) vs msAil.hmt:1.217 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msAim.hmt:1.84 (12) vs msAil.hmt:1.216 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.59	msAim.hmt:1.84 (12) vs msAil.hmt:1.217 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.320 (145) vs msA.hmt:2.321 (26): 9.0 (34.62%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.320 (145) vs msA.hmt:2.322 (102): 37.0 (36.27%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.320 (145) vs msA.hmt:2.323 (18): 4.0 (22.22%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.320 (145) vs msAil.hmt:2.371 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.320 (145) vs msAil.hmt:2.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.320 (145) vs msAint.hmt:2.340 (8): 3.0 (37.5%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.322 (102) vs msA.hmt:2.321 (26): 11.0 (42.31%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.321 (26) vs msA.hmt:2.323 (18): 2.0 (11.11%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.321 (26) vs msAil.hmt:2.371 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.321 (26) vs msAil.hmt:2.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.321 (26) vs msAint.hmt:2.340 (8): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.322 (102) vs msA.hmt:2.323 (18): 4.0 (22.22%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.322 (102) vs msAil.hmt:2.371 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.322 (102) vs msAil.hmt:2.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.322 (102) vs msAint.hmt:2.340 (8): 2.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.323 (18) vs msAil.hmt:2.371 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.323 (18) vs msAil.hmt:2.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msA.hmt:2.323 (18) vs msAint.hmt:2.340 (8): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msAil.hmt:2.371 (1) vs msAil.hmt:2.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msAint.hmt:2.340 (8) vs msAil.hmt:2.371 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.212	msAint.hmt:2.340 (8) vs msAil.hmt:2.372 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.375 (42) vs msA.hmt:2.376 (26): 8.0 (30.77%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.375 (42) vs msAil.hmt:2.403 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.375 (42) vs msAil.hmt:2.404 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.375 (42) vs msAil.hmt:2.405 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.375 (42) vs msAim.hmt:2.391 (9): 2.0 (22.22%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.375 (42) vs msAint.hmt:2.395 (9): 1.0 (11.11%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.376 (26) vs msAil.hmt:2.403 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.376 (26) vs msAil.hmt:2.404 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.376 (26) vs msAil.hmt:2.405 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.376 (26) vs msAim.hmt:2.391 (9): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msA.hmt:2.376 (26) vs msAint.hmt:2.395 (9): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAil.hmt:2.404 (2) vs msAil.hmt:2.403 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAil.hmt:2.405 (2) vs msAil.hmt:2.403 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAim.hmt:2.391 (9) vs msAil.hmt:2.403 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAint.hmt:2.395 (9) vs msAil.hmt:2.403 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAil.hmt:2.404 (2) vs msAil.hmt:2.405 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAim.hmt:2.391 (9) vs msAil.hmt:2.404 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAint.hmt:2.395 (9) vs msAil.hmt:2.404 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAim.hmt:2.391 (9) vs msAil.hmt:2.405 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAint.hmt:2.395 (9) vs msAil.hmt:2.405 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.219	msAim.hmt:2.391 (9) vs msAint.hmt:2.395 (9): 0.0 (0.0%)
