Line Number	Scholia Being Compared	Percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.61 vs msAil.hmt:1.208	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.61 vs msAil.hmt:1.209	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.61 vs msAil.hmt:1.210	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.61 vs msAim.hmt:1.82	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.62 vs msAil.hmt:1.208	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.62 vs msAil.hmt:1.209	100.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.62 vs msAil.hmt:1.210	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msA.hmt:1.62 vs msAim.hmt:1.82	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAil.hmt:1.208 vs msAil.hmt:1.209	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAil.hmt:1.208 vs msAil.hmt:1.210	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAil.hmt:1.208 vs msAim.hmt:1.82	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAil.hmt:1.209 vs msAil.hmt:1.210	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAil.hmt:1.209 vs msAim.hmt:1.82	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:1.51	msAil.hmt:1.210 vs msAim.hmt:1.82	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.63 vs msA.hmt:2.64	4.35%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.63 vs msA.hmt:2.65	6.25%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.63 vs msAil.hmt:2.92	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.63 vs msAil.hmt:2.93	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.63 vs msAint.hmt:2.73	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.64 vs msA.hmt:2.65	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.64 vs msAil.hmt:2.92	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.64 vs msAil.hmt:2.93	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.64 vs msAint.hmt:2.73	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.65 vs msAil.hmt:2.92	50.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.65 vs msAil.hmt:2.93	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msA.hmt:2.65 vs msAint.hmt:2.73	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msAil.hmt:2.92 vs msAil.hmt:2.93	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msAil.hmt:2.92 vs msAint.hmt:2.73	50.0%
urn:cts:greekLit:tlg0012.tlg001.msA:2.53	msAil.hmt:2.93 vs msAint.hmt:2.73	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 vs msAil.hmt:9.15	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 vs msAil.hmt:9.16	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 vs msAil.hmt:9.17	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 vs msAil.hmt:9.18	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msA.hmt:9.3 vs msAil.hmt:9.19	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.15 vs msAil.hmt:9.16	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.15 vs msAil.hmt:9.17	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.15 vs msAil.hmt:9.18	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.15 vs msAil.hmt:9.19	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.16 vs msAil.hmt:9.17	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.16 vs msAil.hmt:9.18	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.16 vs msAil.hmt:9.19	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.17 vs msAil.hmt:9.18	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.17 vs msAil.hmt:9.19	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.2	msAil.hmt:9.18 vs msAil.hmt:9.19	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 vs msAil.hmt:9.75	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 vs msAil.hmt:9.76	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 vs msAil.hmt:9.77	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 vs msAil.hmt:9.78	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msA.hmt:9.62 vs msAim.hmt:9.683	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.75 vs msAil.hmt:9.76	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.75 vs msAil.hmt:9.77	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.75 vs msAil.hmt:9.78	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.75 vs msAim.hmt:9.683	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.76 vs msAil.hmt:9.77	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.76 vs msAil.hmt:9.78	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.76 vs msAim.hmt:9.683	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.77 vs msAil.hmt:9.78	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.77 vs msAim.hmt:9.683	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:9.58	msAil.hmt:9.78 vs msAim.hmt:9.683	0.0%
